epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.659,1.22978,0.91381,1.02807,0.77455,0.77972,0.82519,0.52312,1.19411,0.90569,1.03827,0.01,0.01,0.01
2,327.648,1.22777,0.90969,1.02636,0.76004,0.77767,0.82491,0.52374,1.2102,0.91318,1.04322,0.009802,0.009802,0.009802
3,489.788,1.22305,0.90876,1.02522,0.76448,0.78797,0.82662,0.52855,1.20255,0.90626,1.04106,0.009604,0.009604,0.009604
4,650.702,1.22125,0.89962,1.02087,0.75758,0.7775,0.82227,0.52235,1.20151,0.91341,1.0446,0.009406,0.009406,0.009406
5,812.658,1.21967,0.89763,1.0186,0.77204,0.78579,0.83346,0.53465,1.18385,0.90431,1.03374,0.009208,0.009208,0.009208
6,974.744,1.20614,0.89136,1.01368,0.76596,0.78283,0.82671,0.53401,1.18078,0.89217,1.03274,0.00901,0.00901,0.00901
7,1135.86,1.20215,0.88699,1.0125,0.76317,0.77676,0.82121,0.52341,1.19122,0.90877,1.03357,0.008812,0.008812,0.008812
8,1297.65,1.20275,0.87914,1.01116,0.75493,0.79136,0.82624,0.53168,1.17454,0.89898,1.03023,0.008614,0.008614,0.008614
9,1459.42,1.19524,0.88248,1.00708,0.76847,0.78595,0.8257,0.53527,1.17154,0.89088,1.02292,0.008416,0.008416,0.008416
10,1620.98,1.19013,0.86481,1.00255,0.77845,0.77909,0.83442,0.5432,1.17087,0.87502,1.02661,0.008218,0.008218,0.008218
11,1783.11,1.19429,0.86545,1.00224,0.77523,0.79124,0.83215,0.54354,1.1535,0.8673,1.0198,0.00802,0.00802,0.00802
12,1944.87,1.18694,0.8611,0.99968,0.7735,0.80226,0.83823,0.54615,1.16268,0.86295,1.02194,0.007822,0.007822,0.007822
13,2106.41,1.18259,0.86157,1.00072,0.78017,0.79282,0.84372,0.55684,1.14269,0.85158,1.01015,0.007624,0.007624,0.007624
14,2268.18,1.17259,0.84753,0.9938,0.77671,0.80122,0.84015,0.55251,1.14396,0.85519,1.01236,0.007426,0.007426,0.007426
15,2429.7,1.17399,0.85071,0.99289,0.78297,0.79358,0.84223,0.55169,1.1444,0.85301,1.01006,0.007228,0.007228,0.007228
16,2590.94,1.17622,0.85017,0.99317,0.79176,0.79234,0.84964,0.56047,1.13685,0.83996,1.00516,0.00703,0.00703,0.00703
17,2753.39,1.1617,0.83362,0.98989,0.78543,0.80579,0.84488,0.55749,1.13602,0.83578,1.00699,0.006832,0.006832,0.006832
18,2914.82,1.16399,0.83734,0.98761,0.7901,0.79633,0.85054,0.56454,1.12776,0.82336,1.00044,0.006634,0.006634,0.006634
19,3076.09,1.17498,0.84671,0.99055,0.78941,0.809,0.85381,0.5685,1.12286,0.8187,0.99836,0.006436,0.006436,0.006436
20,3237.62,1.16625,0.83584,0.9887,0.78931,0.81592,0.85507,0.57151,1.11255,0.81707,0.99426,0.006238,0.006238,0.006238
21,3399.18,1.17104,0.83657,0.98894,0.78821,0.80994,0.85335,0.56826,1.11906,0.82214,0.99854,0.00604,0.00604,0.00604
22,3561.06,1.16292,0.83188,0.98659,0.79043,0.81617,0.85307,0.5681,1.11475,0.8163,0.99505,0.005842,0.005842,0.005842
23,3722.62,1.15395,0.82311,0.98073,0.78798,0.8115,0.85359,0.57361,1.10969,0.81108,0.99194,0.005644,0.005644,0.005644
24,3884.31,1.1582,0.8247,0.98108,0.79191,0.81228,0.85603,0.57685,1.1055,0.8023,0.992,0.005446,0.005446,0.005446
25,4045.62,1.14635,0.81735,0.97762,0.7997,0.80921,0.85633,0.57747,1.10305,0.80006,0.99107,0.005248,0.005248,0.005248
26,4207.38,1.13981,0.81256,0.97425,0.78494,0.82334,0.85942,0.57959,1.09538,0.79603,0.98754,0.00505,0.00505,0.00505
27,4368.71,1.14408,0.80614,0.9763,0.79522,0.82318,0.86263,0.58055,1.10085,0.78906,0.9876,0.004852,0.004852,0.004852
28,4530.73,1.13675,0.80086,0.97327,0.80254,0.81196,0.86239,0.58225,1.09997,0.78646,0.98772,0.004654,0.004654,0.004654
29,4692.31,1.12719,0.79555,0.97108,0.80052,0.8182,0.86418,0.58299,1.09623,0.78314,0.98624,0.004456,0.004456,0.004456
30,4853.49,1.12823,0.79068,0.9697,0.80423,0.81555,0.86348,0.5828,1.09621,0.78189,0.98602,0.004258,0.004258,0.004258
31,5015.09,1.13006,0.79447,0.97106,0.80142,0.81711,0.86456,0.58371,1.09549,0.77901,0.98492,0.00406,0.00406,0.00406
32,5176.56,1.12021,0.78648,0.9668,0.79954,0.81617,0.8653,0.58595,1.09348,0.77744,0.98411,0.003862,0.003862,0.003862
33,5338.8,1.11773,0.77918,0.96488,0.80249,0.81866,0.86603,0.58591,1.09357,0.77559,0.98458,0.003664,0.003664,0.003664
34,5501.13,1.1089,0.77056,0.96286,0.80105,0.8236,0.86628,0.58682,1.09293,0.77272,0.98482,0.003466,0.003466,0.003466
35,5662.48,1.10621,0.76979,0.9633,0.80275,0.8223,0.86757,0.58775,1.09284,0.77018,0.98441,0.003268,0.003268,0.003268
36,5824.26,1.10517,0.76847,0.96054,0.81045,0.8143,0.86808,0.58787,1.09207,0.76991,0.98369,0.00307,0.00307,0.00307
37,5985.48,1.0998,0.75935,0.95832,0.81034,0.8157,0.86861,0.58936,1.09102,0.76866,0.98259,0.002872,0.002872,0.002872
38,6147.07,1.09257,0.75417,0.95627,0.81012,0.81751,0.87013,0.59009,1.09034,0.76729,0.98191,0.002674,0.002674,0.002674
39,6309.06,1.09207,0.74933,0.95778,0.80385,0.82297,0.87038,0.59042,1.09149,0.76687,0.98255,0.002476,0.002476,0.002476
40,6471.09,1.08706,0.74392,0.95454,0.80728,0.82178,0.87116,0.59053,1.09201,0.76613,0.98256,0.002278,0.002278,0.002278
41,6632.52,1.06126,0.72885,0.95336,0.80484,0.82458,0.8706,0.591,1.09095,0.76558,0.98185,0.00208,0.00208,0.00208
42,6792.33,1.05651,0.71757,0.95164,0.8033,0.82707,0.87087,0.5918,1.09102,0.76443,0.98158,0.001882,0.001882,0.001882
43,6952.15,1.05097,0.71207,0.95174,0.80485,0.82432,0.87103,0.59231,1.09109,0.7644,0.98163,0.001684,0.001684,0.001684
44,7111.74,1.03818,0.70415,0.94938,0.80747,0.82323,0.87119,0.59209,1.09112,0.76415,0.98183,0.001486,0.001486,0.001486
45,7271.29,1.0367,0.70023,0.94754,0.80829,0.82318,0.87109,0.59187,1.09131,0.76315,0.98199,0.001288,0.001288,0.001288
46,7430.81,1.03185,0.69468,0.9435,0.80896,0.82412,0.87137,0.59236,1.09139,0.76221,0.98192,0.00109,0.00109,0.00109
47,7590.18,1.02801,0.69009,0.94463,0.80837,0.8263,0.8717,0.59216,1.09146,0.76225,0.98171,0.000892,0.000892,0.000892
48,7749.79,1.02207,0.67964,0.93976,0.80824,0.82733,0.87148,0.59197,1.09137,0.76137,0.98155,0.000694,0.000694,0.000694
49,7909.1,1.01971,0.67855,0.94196,0.80826,0.82811,0.87192,0.59226,1.09123,0.76098,0.98151,0.000496,0.000496,0.000496
50,8069,1.012,0.673,0.93886,0.80815,0.82863,0.87229,0.59227,1.09146,0.76073,0.98156,0.000298,0.000298,0.000298
